Title,Distr
Star Wars: Episode III Revenge of the Sith,20th Fox
XXX2: The Next Level,Sony
Mysterious Skin,Tartan
Only Human,Verve
House of Wax,Warner
The Pacifier,BVI
Monster-In-Law,Entertainment
Millions,Pathe
It's All Gone Pete Tong,Redbus
Bunty Aur Bably,Yash Raj
The Consequences of Love,Artificial Eye
Sin City,BVI
The League of Gentlemen's Apocalypse,UIP
Stander,Momentum
Mr and Mrs Smith,20th Fox
Parineeta,UTV Comm
A Good Woman,Verve
Only Human,Entertainment
Downfall,Warner
The Jacket,Momentum
The Wedding Date,Momentum
Machuca,Metrodome
The Chorus,UIP
Sahara,Momentum
The Assassination of Richard Nixon,UIP
Stander,Artificial Eye
Mickybo and Me,Optimum
Tarnation,Verve
Bullet Boy,Optimum
The Last Horror Movie,Pathe
Batman Begins,Warner
Bombon - El Perro,Pathe
We Don't Live Here Anymore,Redbus
Kung Fu Hustle,Sony Pictures
A Lot Like Love,BVI
Paheli,Eros
In My Father's Den,Optimum
Headrush,Zanzibar
War of the Worlds,UIP
Kung Fu Hustle,Sony
Sarkar,Tip Top
Yakeen,Venus
Parineeta,UTV
Clean,Vertigo
The Descent,Pathe
Dus,Spark
Madagascar,UIP
Wedding Crashers,Entertainment
Maine Pyaar Kyun Kiya?,Spark
Festival,Pathe
One Love,Blue Dolphin
The Heart is Deceitful Above All Things,Tartan 
Process,Tartan 
Fantastic Four,20th Fox
Dark Water,BVI
Kicking and Screaming,UIP
Viruddh,UTV Comm
Silver City,Tartan
The Heart is Deceitful Above All Things,Tartan
Charlie and the Chocolate Factory,Warner
Herbie: Fully Loaded,BVI
Stealth,Sony
The Skeleton Key,UIP
The Devil's Rejects,Momentum
Dear Wendy,Metrodome
Yes,Optimum
The Island,Warner
Crash,Pathe
The Perfect Catch,20th Fox
The Rising,Yash Raj
Skeleton Key,UIP
The Bad News Bears,UIP
Spirit Trap,Revolver
Bewitched,Sony
Unleashed,UIP
The Perfect Man,UIP
Barsaat,Tip Top
Me and You and Everyone We Know,Optimum
The Dukes of Hazzard,Warner
The Cave,Entertainment
The Adventures of Shark Boy and Lavagirl in 3D,Sony
Sisterhood of the Travelling Pants,Warner
No Entry,Eros
Heidi,The Works
The 40 Year-Old Virgin,UIP
Red Eye,UIP
The Business,Pathe
On a Clear Day,Icon
The Longest Yard,Sony
Cinderella Man,BVI
Green Street,UIP
The Man,Entertainment
Salaam Namaste,Yash Raj
Asylum,Momentum
The Jealous God,Miracle
The Adventures of Arsene Lupin,Cinefrance
Pride and Prejudice,UIP
Wolf Creek,Optimum
The Adventures of Shark Boy and Lava Girl in 3D,Sony
Must Love Dogs,Warner
The Mighty Celt,Metrodome
